Timestamp,Graph Type,Algorithm,Nodes,Start,Target,Order,Expanded Nodes,Path Length,Depth Limit (IDDFS),"Time (algo, ms)"
2026-09-13 19:31:59,Directed,DFS (blind search),36,12,30,asc,10,8,-,0.140 ms
2026-09-13 19:32:04,Directed,DFS (blind search),36,17,30,asc,9,7,-,0.125 ms
2026-09-13 19:32:13,Directed,DFS (blind search),36,26,30,asc,7,7,-,0.098 ms
2026-09-13 19:32:17,Directed,IDDFS (shortest path),36,26,30,asc,37,7,6,0.162 ms
2026-09-13 19:32:24,Directed,IDDFS (shortest path),36,17,30,asc,62,7,6,0.176 ms
2026-09-13 19:32:30,Directed,IDDFS (shortest path),36,12,30,asc,82,8,7,0.375 ms
2026-09-13 19:32:41,Directed,IDDFS (shortest path),36,30,12,asc,37,0,36,0.274 ms
2026-09-13 19:50:52,Undirected,DFS (blind search),30,0,24,asc,29,6,-,0.668 ms
2026-09-13 19:52:10,Undirected,DFS (blind search),30,0,6,asc,12,3,-,0.116 ms
2026-09-13 20:10:52,Directed,DFS (blind search),32,1,29,asc,12,0,-,0.144 ms
2026-09-13 20:11:18,Directed,DFS (blind search),32,7,29,asc,7,0,-,0.062 ms
2026-09-13 20:11:40,Directed,DFS (blind search),32,15,29,asc,24,7,-,0.080 ms
2026-09-13 20:13:23,Directed,DFS (blind search),32,15,29,asc,24,7,-,0.186 ms
2026-09-13 20:14:36,Directed,DFS (blind search),32,15,29,asc,12,0,-,0.127 ms
2026-09-13 20:15:39,Undirected,DFS (blind search),32,1,27,asc,4,3,-,0.082 ms
2026-09-13 20:15:54,Undirected,DFS (blind search),32,1,23,asc,26,9,-,0.152 ms
2026-09-13 20:34:10,Directed,DFS (blind search),32,1,15,asc,20,7,-,0.211 ms
2026-09-13 20:35:56,Undirected,DFS (blind search),32,1,15,asc,22,10,-,0.234 ms
2026-09-13 20:36:03,Undirected,DFS (blind search),32,1,15,asc,22,10,-,0.209 ms
2026-09-13 20:39:18,Directed,DFS (blind search),32,1,15,asc,20,7,-,0.114 ms
2026-09-13 20:40:11,Directed,DFS (blind search),32,1,15,asc,24,6,-,0.196 ms
2026-09-13 20:48:06,Directed,DFS (blind search),32,1,15,asc,19,3,-,0.148 ms
2026-09-13 20:49:19,Directed,DFS (blind search),32,1,15,asc,26,4,-,0.142 ms
2026-09-13 20:49:57,Directed,DFS (blind search),32,1,15,asc,19,0,-,0.205 ms
2026-09-13 21:46:15,Undirected,DFS (blind search),30,0,27,asc,25,4,-,0.129 ms
2026-09-13 21:46:34,Undirected,DFS (blind search),30,0,24,asc,29,5,-,0.112 ms
2026-09-13 21:46:55,Undirected,DFS (blind search),30,0,6,asc,12,2,-,0.124 ms
2026-09-13 21:55:46,Undirected,DFS (blind search),30,0,27,asc,28,5,-,0.218 ms
2026-09-13 22:04:04,Undirected,DFS (blind search),30,0,24,asc,29,5,-,0.325 ms
2026-09-13 22:04:38,Undirected,DFS (blind search),30,0,24,asc,8,7,-,0.089 ms
2026-09-13 22:05:06,Undirected,DFS (blind search),30,0,28,asc,21,3,-,0.174 ms
2026-09-13 22:05:30,Undirected,DFS (blind search),30,0,28,asc,9,7,-,0.117 ms
2026-09-13 22:16:32,Undirected,DFS (blind search),35,1,29,asc,26,10,-,0.144 ms
2026-09-13 22:18:15,Undirected,DFS (blind search),35,1,29,asc,26,10,-,0.665 ms
2026-09-17 11:34:22,Undirected,DFS (blind search),35,0,22,asc,24,5,-,0.308 ms
2026-09-17 17:06:31,Undirected,DFS (blind search),35,1,34,asc,28,7,-,0.281 ms
2026-09-17 17:42:29,Directed,DFS (blind search),36,0,1,asc,2,0,-,0.126 ms
2026-09-17 17:42:59,Undirected,DFS (blind search),36,1,16,asc,21,8,-,0.092 ms
2026-09-17 18:03:44,Directed,DFS (blind search),35,10,1,desc,13,7,-,0.214 ms
2026-09-17 18:03:56,Directed,DFS (blind search),35,10,1,desc,13,7,-,0.628 ms
